review_id,target_institution_id,target_programme_id,target_institution,target_programme,target_url,country,degree_level,discipline,field_name,resolution_level,final_value,target_scope,donor_institution,donor_programme,donor_value,donor_scope,provider,source_url,evidence_text,raw_document_id,support_count,combined_uncertainty,compatibility_reason
HQA-03118,kings-uk-canary,57418cd2-9e28-5de8-9bc6-055f88d3b8bb,King's College London,Computer Science,https://discoveruni.gov.uk/course-details/10003645/UMSH4CSCS/Full-time/,UK,bachelor,computer science,credential,H3,BSc (Hons),programme,King's College London,Computer Science,BSc (Hons),programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10003645/UBSH3CSCS/Full-time/,BSc (Hons) Computer Science,ea162dda-a91a-4dd1-9d41-0ba7caab89cc,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-03123,kings-uk-canary,57418cd2-9e28-5de8-9bc6-055f88d3b8bb,King's College London,Computer Science,https://discoveruni.gov.uk/course-details/10003645/UMSH4CSCS/Full-time/,UK,bachelor,computer science,duration,H3,3 year course,programme,King's College London,Computer Science,3 year course,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10003645/UBSH3CSCS/Full-time/,Length 3 year course,ea162dda-a91a-4dd1-9d41-0ba7caab89cc,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-03124,kings-uk-canary,57418cd2-9e28-5de8-9bc6-055f88d3b8bb,King's College London,Computer Science,https://discoveruni.gov.uk/course-details/10003645/UMSH4CSCS/Full-time/,UK,bachelor,computer science,location,H3,Central London,programme,King's College London,Computer Science,Central London,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10003645/UBSH3CSCS/Full-time/,Location : Central London,ea162dda-a91a-4dd1-9d41-0ba7caab89cc,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-03125,kings-uk-canary,57418cd2-9e28-5de8-9bc6-055f88d3b8bb,King's College London,Computer Science,https://discoveruni.gov.uk/course-details/10003645/UMSH4CSCS/Full-time/,UK,bachelor,computer science,delivery_mode,H3,Full time,programme,King's College London,Computer Science,Full time,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10003645/UBSH3CSCS/Full-time/,Study mode Full time,ea162dda-a91a-4dd1-9d41-0ba7caab89cc,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-03127,kings-uk-canary,57418cd2-9e28-5de8-9bc6-055f88d3b8bb,King's College London,Computer Science,https://discoveruni.gov.uk/course-details/10003645/UMSH4CSCS/Full-time/,UK,bachelor,computer science,career_outcomes,H3,"{""occupation"": ""Information Technology Professionals"", ""percentage"": 85, ""period"": ""15 months after the course""}",programme,King's College London,Computer Science,"{""occupation"": ""Information Technology Professionals"", ""percentage"": 85, ""period"": ""15 months after the course""}",programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10003645/UBSH3CSCS/Full-time/,85% Information Technology Professionals,ea162dda-a91a-4dd1-9d41-0ba7caab89cc,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-03128,kings-uk-canary,57418cd2-9e28-5de8-9bc6-055f88d3b8bb,King's College London,Computer Science,https://discoveruni.gov.uk/course-details/10003645/UMSH4CSCS/Full-time/,UK,bachelor,computer science,employment_outcomes,H3,"{""audience"": null, ""metric"": ""in_other_work"", ""percentage"": 0, ""period"": ""15 months after the course"", ""population"": ""students graduating 2022-23""}",programme,King's College London,Computer Science,"{""audience"": null, ""metric"": ""in_other_work"", ""percentage"": 0, ""period"": ""15 months after the course"", ""population"": ""students graduating 2022-23""}",programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10003645/UBSH3CSCS/Full-time/,0% In other work,ea162dda-a91a-4dd1-9d41-0ba7caab89cc,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-03887,discover-uk-stage1-013,68e2924c-c07f-5ac2-8ea9-6bb6e0d21351,Bishop Burton College,Animal Behaviour & Wildlife Conservation,https://discoveruni.gov.uk/en/course-details/10000721/BScABWC/Full-time/,UK,bachelor,other,career_outcomes,H3,GBP 19000,programme,Bishop Burton College,Applied Animal Behaviour and Training,GBP 19000,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10000721/BScAABT/Full-time/,"After 5 years £19,000 Typical range: £15,500 - £23,000 Data from 25 people. Data for students graduating 2015-17 Source: Longitudinal Education Outcomes (LEO) dataset",0489e3e6-c9ce-404e-8909-6738b903b89a,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-03953,discover-uk-stage1-023,6a7210f2-06be-539a-8480-cf8386a4f915,London South East Colleges,Early Years Professional Leadership,https://discoveruni.gov.uk/en/course-details/10000948/HNDEYPL/Full-time/,UK,bachelor,other,programme_identity,H3,HND Computing: Cyber Security,programme,London South East Colleges,Computing: Cyber Security,HND Computing: Cyber Security,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10000948/HNDCMCS/Full-time/,HND Computing: Cyber Security,a583199d-9e4f-4578-968d-3a019968c57b,1,0.367,HIERARCHICAL_DONOR_SELECTED
HQA-03954,discover-uk-stage1-023,6a7210f2-06be-539a-8480-cf8386a4f915,London South East Colleges,Early Years Professional Leadership,https://discoveruni.gov.uk/en/course-details/10000948/HNDEYPL/Full-time/,UK,bachelor,other,credential,H3,HND,programme,London South East Colleges,Computing: Cyber Security,HND,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10000948/HNDCMCS/Full-time/,HND Computing: Cyber Security,a583199d-9e4f-4578-968d-3a019968c57b,1,0.367,HIERARCHICAL_DONOR_SELECTED
HQA-05062,discover-uk-stage1-004,8eb42e1e-62a2-5044-987d-01719cd7d204,Anglia Ruskin University,Law,https://discoveruni.gov.uk/en/course-details/10000291/K00001/Full-time/,UK,bachelor,other,location,H3,ARU Cambridge Campus,programme,Anglia Ruskin University,Fine Art,ARU Cambridge Campus,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10000291/K00004/Full-time/,Location : ARU Cambridge Campus,111cf2bd-2930-48e7-ad16-f4b540cdda71,1,0.3403,HIERARCHICAL_DONOR_SELECTED
