review_id,institution_name,programme_name,country,degree_level,field_name,extracted_value,value_scope,provider,source_url,evidence_text,system_status,system_confidence_or_reason,review_verdict,review_comment,reviewer,reviewed_at,critical_error
QA-0013,University of Eastern Finland,Information Technology,Finland,Bachelor,required_documents,Certificates,programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/hakukohde/1.2.246.562.20.00000000000000076731,Required application document name: Certificates,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.85,,,,,
QA-0014,University of Eastern Finland,Information Technology,Finland,Bachelor,standardized_tests,test: PTE (academic); minimum overall score: 54,programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/valintaperuste/33012799-b01f-435e-8083-851d47fb4b6d,PTE (academic)-test: minimum overall score of 54,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0015,Campus de Lyon 3 à Bourg-en-Bresse,licence mention histoire,France,Bachelor,programme_identity,licence mention histoire,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Formation label: licence mention histoire,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0016,Campus de Lyon 3 à Bourg-en-Bresse,licence mention histoire,France,Bachelor,credential,licence,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Qualification type: licence,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0017,Campus de Lyon 3 à Bourg-en-Bresse,licence mention histoire,France,Bachelor,duration,3 ans,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Standard cycle duration: 3 ans [source column AF durée cycle standard],ACCEPTED,accepted deterministic catalogue metadata; source column=AF durée cycle standard; exact programme context,,,,,
QA-0018,Ecole centrale de Lyon,Master mention chimie et sciences des materiaux,France,Master,tuition,"EUR 3,941 / year (credential=master; audience=international; academic cycle=2025)",programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,"Tuition (schooling cost) (fee credential category=master [source column FOR type]): de 254 euros jusqu'à 3941 euros en 2025 (254 euros pour les étudiants UE , 3941 euros pour les étudiants hors UE) [source column AF coût scolarité]",REVIEW,review; exact external evidence; pipeline confidence=0.90; validation=BASIS_NOT_SUPPORTED,,,,,
QA-0019,Ecole centrale de Lyon,Master mention chimie et sciences des materiaux,France,Master,duration,1 an,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Standard cycle duration: 1 an [source column AF durée cycle standard],ACCEPTED,accepted deterministic catalogue metadata; source column=AF durée cycle standard; exact programme context,,,,,
QA-0020,Ecole centrale de Lyon,Master mention chimie et sciences des materiaux,France,Master,location,Ecully,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Teaching location: Ecully [source column ENS commune],ACCEPTED,accepted deterministic catalogue metadata; source column=ENS commune; exact programme context,,,,,
QA-0021,Ecole centrale de Lyon,Master mention chimie et sciences des materiaux,France,Master,delivery_mode,"temps plein, cours en présentiel",programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,"Study modality: temps plein, cours en présentiel [source column AF modalités scolarité]",ACCEPTED,accepted deterministic catalogue metadata; source column=AF modalités scolarité; exact programme context,,,,,
QA-0022,IUT Clermont Auvergne - site de Montluçon,BUT génie électrique et informatique industrielle parcours électricité et maîtrise de l'énergie,France,Bachelor,programme_identity,BUT génie électrique et informatique industrielle parcours électricité et maîtrise de l'énergie,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Formation label: BUT génie électrique et informatique industrielle parcours électricité et maîtrise de l'énergie [source column Formation (FOR) libellé],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.95,,,,,
QA-0023,IUT Clermont Auvergne - site de Montluçon,BUT génie électrique et informatique industrielle parcours électricité et maîtrise de l'énergie,France,Bachelor,credential,bachelor universitaire de technologie,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Qualification type: bachelor universitaire de technologie [source column FOR type],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0024,IUT Clermont Auvergne - site de Montluçon,BUT génie électrique et informatique industrielle parcours électricité et maîtrise de l'énergie,France,Bachelor,duration,3 ans,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Standard cycle duration: 3 ans [source column AF durée cycle standard],ACCEPTED,accepted deterministic catalogue metadata; source column=AF durée cycle standard; exact programme context,,,,,
QA-0025,IUT d'Aix-Marseille - site de Digne-les-Bains,BUT génie biologique parcours sciences de l'environnement et écotechnologies,France,Bachelor,programme_identity,BUT génie biologique parcours sciences de l'environnement et écotechnologies,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Formation label: BUT génie biologique parcours sciences de l'environnement et écotechnologies [source column Formation (FOR) libellé],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.95,,,,,
QA-0026,IUT d'Aix-Marseille - site de Digne-les-Bains,BUT génie biologique parcours sciences de l'environnement et écotechnologies,France,Bachelor,credential,bachelor universitaire de technologie,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Qualification type: bachelor universitaire de technologie [source column FOR type],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0027,IUT d'Aix-Marseille - site de Digne-les-Bains,BUT génie biologique parcours sciences de l'environnement et écotechnologies,France,Bachelor,duration,3 ans,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Standard cycle duration: 3 ans [source column AF durée cycle standard],ACCEPTED,accepted deterministic catalogue metadata; source column=AF durée cycle standard; exact programme context,,,,,
QA-0028,Institut national des sciences appliquees de Lyon,Bachelor en sciences et ingenierie - genie energetique et environnement,France,Bachelor,duration,3 ans,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Standard cycle duration: 3 ans [source column AF durée cycle standard],ACCEPTED,accepted deterministic catalogue metadata; source column=AF durée cycle standard; exact programme context,,,,,
QA-0029,Institut national des sciences appliquees de Lyon,Bachelor en sciences et ingenierie - genie energetique et environnement,France,Bachelor,location,Villeurbanne,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Teaching location: Villeurbanne [source column ENS commune],ACCEPTED,accepted deterministic catalogue metadata; source column=ENS commune; exact programme context,,,,,
