review_id,target_institution_id,target_programme_id,target_institution,target_programme,target_url,country,degree_level,discipline,field_name,resolution_level,final_value,target_scope,donor_institution,donor_programme,donor_value,donor_scope,provider,source_url,evidence_text,raw_document_id,support_count,combined_uncertainty,compatibility_reason
HQA-01981,basel-ch-canary,1fa25dc8-b853-590d-8481-27668ce3a81d,University of Basel,University of Basel Engineering,https://www.swissuniversities.ch/en/themen/lehre-studium/information-on-studies/tuition-fees/tuition-fees-at-universities?target=basel-ch-canary-b,CH,bachelor,engineering,tuition,H2,CHF 850 / per semester (international),institution,University of Basel,,CHF 850 / per semester (international),institution,swissuniversities_tuition,https://www.swissuniversities.ch/en/themen/lehre-studium/information-on-studies/tuition-fees/tuition-fees-at-universities,Foreign tuition: 850 [literal matched-row value] (credential=Foreign tuition; currency=CHF; basis=per semester; audience=international; cycle=2026-2027),8c2c5a87-220d-4998-aaab-0dca3d66f4a1,1,0.2907,HIERARCHICAL_DONOR_SELECTED; institution-scoped finance context preserved (not programme tuition)
HQA-01982,basel-ch-canary,1fa25dc8-b853-590d-8481-27668ce3a81d,University of Basel,University of Basel Engineering,https://www.swissuniversities.ch/en/themen/lehre-studium/information-on-studies/tuition-fees/tuition-fees-at-universities?target=basel-ch-canary-b,CH,bachelor,engineering,additional_fees,H2,CHF 100 / per semester,institution,University of Basel,,CHF 100 / per semester,institution,swissuniversities_tuition,https://www.swissuniversities.ch/en/themen/lehre-studium/information-on-studies/tuition-fees/tuition-fees-at-universities,Other compulsory fees: 100 [literal matched-row value] (currency=CHF; basis=per semester; audience=all; cycle=2026-2027),8c2c5a87-220d-4998-aaab-0dca3d66f4a1,1,0.2907,HIERARCHICAL_DONOR_SELECTED; institution-scoped finance context preserved (not programme tuition)
HQA-02015,nottingham-uk-canary,203e027d-3bf3-57ca-9bf7-6bcaf82a909a,University of Nottingham,Computer Science,https://discoveruni.gov.uk/course-details/10007154/G404/Full-time/,UK,bachelor,computer science,programme_identity,H3,BSc (Hons) Computer Science,programme,University of Nottingham,Computer Science,BSc (Hons) Computer Science,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007154/G400/Full-time/,BSc (Hons) Computer Science,88e2f3a4-7810-4c98-9526-09db818fa4cb,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-02016,nottingham-uk-canary,203e027d-3bf3-57ca-9bf7-6bcaf82a909a,University of Nottingham,Computer Science,https://discoveruni.gov.uk/course-details/10007154/G404/Full-time/,UK,bachelor,computer science,credential,H3,BSc (Hons),programme,University of Nottingham,Computer Science,BSc (Hons),programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007154/G400/Full-time/,BSc (Hons) Computer Science,88e2f3a4-7810-4c98-9526-09db818fa4cb,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-02021,nottingham-uk-canary,203e027d-3bf3-57ca-9bf7-6bcaf82a909a,University of Nottingham,Computer Science,https://discoveruni.gov.uk/course-details/10007154/G404/Full-time/,UK,bachelor,computer science,duration,H3,3 year course,programme,University of Nottingham,Computer Science,3 year course,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007154/G400/Full-time/,Length 3 year course,88e2f3a4-7810-4c98-9526-09db818fa4cb,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-02022,nottingham-uk-canary,203e027d-3bf3-57ca-9bf7-6bcaf82a909a,University of Nottingham,Computer Science,https://discoveruni.gov.uk/course-details/10007154/G404/Full-time/,UK,bachelor,computer science,location,H3,The University of Nottingham,programme,University of Nottingham,Computer Science,The University of Nottingham,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007154/G400/Full-time/,Location : The University of Nottingham,88e2f3a4-7810-4c98-9526-09db818fa4cb,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-02023,nottingham-uk-canary,203e027d-3bf3-57ca-9bf7-6bcaf82a909a,University of Nottingham,Computer Science,https://discoveruni.gov.uk/course-details/10007154/G404/Full-time/,UK,bachelor,computer science,delivery_mode,H3,Full time,programme,University of Nottingham,Computer Science,Full time,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007154/G400/Full-time/,Study mode Full time,88e2f3a4-7810-4c98-9526-09db818fa4cb,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-02025,nottingham-uk-canary,203e027d-3bf3-57ca-9bf7-6bcaf82a909a,University of Nottingham,Computer Science,https://discoveruni.gov.uk/course-details/10007154/G404/Full-time/,UK,bachelor,computer science,career_outcomes,H3,GBP 35000 / 15 months after the course,programme,University of Nottingham,Computer Science,GBP 35000 / 15 months after the course,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007154/G400/Full-time/,"Median Earnings £35,000 15 months after the course for Computer science graduates at The University of Nottingham",88e2f3a4-7810-4c98-9526-09db818fa4cb,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-02026,nottingham-uk-canary,203e027d-3bf3-57ca-9bf7-6bcaf82a909a,University of Nottingham,Computer Science,https://discoveruni.gov.uk/course-details/10007154/G404/Full-time/,UK,bachelor,computer science,employment_outcomes,H3,"{""audience"": null, ""metric"": ""in_highly_skilled_work"", ""percentage"": 90, ""period"": ""15 months after the course"", ""population"": ""students graduating 2022-23""}",programme,University of Nottingham,Computer Science,"{""audience"": null, ""metric"": ""in_highly_skilled_work"", ""percentage"": 90, ""period"": ""15 months after the course"", ""population"": ""students graduating 2022-23""}",programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007154/G400/Full-time/,90% In highly skilled work,88e2f3a4-7810-4c98-9526-09db818fa4cb,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-02209,scorecard-us-stage1-008,225df47f-c7f1-50e6-8812-99c1bee2924f,University of Arizona,University of Arizona Engineering,https://ed-public-download.scorecard.network/downloads/Most-Recent-Cohorts-Institution.zip?target=scorecard-us-stage1-008-b,US,bachelor,engineering,tuition,H2,USD 36743 / annual (international),institution,University of Arizona,,USD 36743 / annual (international),institution,college_scorecard_bulk,https://ed-public-download.scorecard.network/downloads/Most-Recent-Cohorts-Institution.zip,Annual tuition and fees for out-of-state students: 36743 [source column TUITIONFEE_OUT] (currency=USD; basis=annual; audience=international),fe991c83-c2c2-4708-946a-59afd84febb2,1,0.3087,HIERARCHICAL_DONOR_SELECTED; institution-scoped finance context preserved (not programme tuition)
