institution_name,programme_name,country,degree_level,discipline,institution_id,programme_id,programme_identity,credential,duration,location,delivery_mode,programme_language,programme_status,academic_cycle,tuition,tuition_scope,additional_fees,additional_fees_scope,mandatory_fees,application_fee,scholarship,scholarship_amount,funding,funding_amount,funding_eligibility,funding_deadline,ielts_overall,ielts_subscores,toefl,duolingo,standardized_test_requirements,intakes,final_deadline,priority_deadline,international_deadline,rolling_admission,application_url,minimum_degree,minimum_gpa,gpa_scale,subject_prerequisites,required_documents,recommendation_letters,sop_or_essay,portfolio,work_experience,career_outcomes,employment_outcomes,direct_field_count,hierarchical_added_field_count,effective_field_count,missing_field_count,effective_completion_pct,final_source_count,hierarchical_field_count
Stichting ArtEZ,Fine Art and Design in Education,NL,bachelor,other,duo-nl-stage1-012,0f512584-17ba-595f-8723-74993b8cfbe0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Stichting Avans,Master Materials & Energy Transition,NL,master,other,duo-nl-stage1-013,415292e8-d52b-5e24-be5c-5c56f6284005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Stichting Avans,Sustainability Transitions (joint degree),NL,master,computer science,duo-nl-stage1-013,6ed310cc-38b0-5e8f-992a-1d7ebe481f14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Stichting Christel. Hogesch. Windesheim,Information & Communication Technology,NL,bachelor,computer science,duo-nl-stage1-014,bacf26e0-b8c6-5e30-9651-453006e84560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Stichting Christel. Hogesch. Windesheim,Teacher Education in Social Skills,NL,bachelor,other,duo-nl-stage1-014,4f08a8ee-9519-5882-b92e-3c373e740e6f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
"Stichting Codarts, Hogeschool voor de Kunsten",Circus Arts,NL,bachelor,other,duo-nl-stage1-015,0bb5ca11-6ce1-540d-9263-824cd8341723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
"Stichting Codarts, Hogeschool voor de Kunsten",Music,NL,bachelor,other,duo-nl-stage1-015,e13e5765-76c1-5401-bb01-d4156f2afa0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Stichting Design Academy Eindhoven,Design,NL,bachelor,other,duo-nl-stage1-017,271f2b25-6d27-59ee-9488-5a932948ecc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Stichting Design Academy Eindhoven,Master of Arts in Fine Art and Design,NL,master,other,duo-nl-stage1-017,19a197b7-663f-5c92-b071-d5ea6888f842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Stichting Driestar educatief,Education in Primary Schools (age 4 - 12),NL,bachelor,other,duo-nl-stage1-018,cf355755-f0f7-5b74-9f74-8a6c58e4b12c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Stichting Driestar educatief,Educational Theory,NL,bachelor,other,duo-nl-stage1-018,2c644259-28c5-5925-847b-588891b7f7bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Stichting Fontys,Applied Science,NL,bachelor,other,duo-nl-stage1-019,a55ac756-74f2-5665-8ade-50663567365e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Stichting Fontys,Educational Management Childcare,NL,bachelor,business,duo-nl-stage1-019,c870ed45-74ae-5a4a-bfae-45186ef33ff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
