institution_name,programme_name,country,degree_level,discipline,institution_id,programme_id,programme_identity,credential,duration,location,delivery_mode,programme_language,programme_status,academic_cycle,tuition,tuition_scope,additional_fees,additional_fees_scope,mandatory_fees,application_fee,scholarship,scholarship_amount,funding,funding_amount,funding_eligibility,funding_deadline,ielts_overall,ielts_subscores,toefl,duolingo,standardized_test_requirements,intakes,final_deadline,priority_deadline,international_deadline,rolling_admission,application_url,minimum_degree,minimum_gpa,gpa_scale,subject_prerequisites,required_documents,recommendation_letters,sop_or_essay,portfolio,work_experience,career_outcomes,employment_outcomes,direct_field_count,hierarchical_added_field_count,effective_field_count,missing_field_count,effective_completion_pct,final_source_count,hierarchical_field_count
University of Neuchâtel,University of Neuchâtel Engineering,CH,bachelor,engineering,neuchatel-ch-stage1,92cebe0e-1af5-569d-aaeb-20ff04ca716d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
University of St. Gallen,University of St. Gallen Data Science,CH,master,data science,st-gallen-ch-canary,35fd3eae-11a5-503d-964d-3dfc0c609680,,,,,,,,,CHF 1070 / per semester (international),institution,CHF 1284 / per semester,institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,36,5.26,1,2
University of St. Gallen,University of St. Gallen Engineering,CH,bachelor,engineering,st-gallen-ch-canary,673d0f63-7bac-5f75-b5c2-45d6a43cb758,,,,,,,,,CHF 1070 / per semester (international),institution,CHF 1284 / per semester,institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,36,5.26,1,2
University of Zurich,University of Zurich Data Science,CH,master,data science,uzh-ch-canary,decf3e2a-c378-5138-b31c-e3da3493b6db,,,,,,,,,CHF 720 / per semester (international),institution,CHF 720 / per semester,institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,36,5.26,1,2
University of Zurich,University of Zurich Engineering,CH,bachelor,engineering,uzh-ch-canary,8bf9c3db-a6d3-5d2f-b159-21601aa93163,,,,,,,,,CHF 720 / per semester (international),institution,CHF 720 / per semester,institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,36,5.26,1,2
Università della Svizzera Italiana,Università della Svizzera Italiana Data Science,CH,master,data science,usi-ch-stage1,d1371441-3b4e-545e-b207-e43e3b6b9bac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Università della Svizzera Italiana,Università della Svizzera Italiana Engineering,CH,bachelor,engineering,usi-ch-stage1,0ccfc7ae-2f5b-5a2b-8355-86759d5758e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Aalto University,Computer Science MSc,FI,master,computer science,aalto-fi-canary,c695f7f2-0ce1-5caa-9600-cf5fc759a332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University Bachelor's degree,,,,,,,,,,,1,0,1,37,2.63,1,0
Aalto University,"Data Science, Bachelor/MSc",FI,bachelor,computer science,aalto-fi-canary,81f197ab-e6ea-5bdf-b4c2-eb79ba966142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Haaga-Helia University of Applied Sciences,Business Information Technology,FI,bachelor,computer science,haaga-helia-fi-canary,8606b6c5-bf41-54d1-87f7-95596c5d82cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Required educational certificates,,,,,,,1,0,1,37,2.63,1,0
