programme_id,programme_name,institution_id,field_name,value_json,resolution_level,scope,donor_entity,donor_name,source_url,source_hash,raw_document_id,provider,source_authority,source_relationship,uncertainty,provenance,original_status,is_new
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,programme_identity,Computer Science MSc,H0,programme,c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,https://opintopolku.fi/konfo-backend/hakukohde/1.2.246.562.20.00000000000000091188,,stage1-programme-record-c695f7f2-0ce1-5caa-9600-cf5fc759a332,frozen_programme_catalogue,CATALOGUE,CATALOGUE_RECORD,LOW,Persisted verified programme catalogue title.,CATALOGUE_RECORD,1
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,credential,MSc,H0,programme,c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,https://opintopolku.fi/konfo-backend/hakukohde/1.2.246.562.20.00000000000000091188,,stage1-programme-record-c695f7f2-0ce1-5caa-9600-cf5fc759a332,frozen_programme_catalogue,CATALOGUE,CATALOGUE_RECORD,HIGH,Credential token retained from persisted programme title.,CATALOGUE_DERIVED,1
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,duration,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,location,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,delivery_mode,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,programme_language,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,programme_status,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,MISSING,0
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,academic_cycle,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,MISSING,0
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,tuition,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,additional_fees,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
